palavra,tipo,divisao_silabica
já,advérbio,já
já (conjunção) já
já-começa (nome masculino) já-co·me·ça

jã-da-cruz (nome masculino) jã-da-cruz

jã-mijão (nome masculino) jã-mi·jão

jã-ninguém (nome masculino) jã-nin·guém

jaaraboá (nome masculino) ja·a·ra·bo·á

jabá (nome masculino) ja·bá
jabá (nome feminino) ja·bá

jabarandaia (nome masculino) ja·ba·ran·dai·a

jabiraca (nome feminino) ja·bi·ra·ca

jabiru (nome masculino) ja·bi·ru
jabitá (nome masculino) ja·bi·tá
jabô (nome masculino) ja·bô
jaborandi (nome masculino) ja·bo·ran·di
jaborandina (nome feminino) ja·bo·ran·di·na

jabot (nome masculino) ja·bot
jabota (nome feminino) ja·bo·ta
jabu (nome masculino) ja·bu

jaburu (nome masculino) ja·bu·ru
jabutá (nome masculino) ja·bu·tá
jabutapitá (nome feminino) ja·bu·ta·pi·tá

jabuti (nome masculino) ja·bu·ti
jabutiba (nome feminino) ja·bu·ti·ba

jabutiboia (nome feminino) ja·bu·ti·boi·a
jabuticaba (nome feminino) ja·bu·ti·ca·ba
jabuticabal (nome masculino) ja·bu·ti·ca·bal

jabuticabeira (nome feminino) ja·bu·ti·ca·bei·ra
jabutim (nome masculino) ja·bu·tim
jabutimata (nome feminino) ja·bu·ti·ma·ta

jabutipé (nome masculino) ja·bu·ti·pé

jabutuíva (nome feminino) ja·bu·tu·í·va

jaca (nome masculino) ja·ca
jaca (nome feminino) ja·ca
jaça (nome feminino) ja·ça
jacá (nome masculino) ja·cá
jacaçu (nome masculino) ja·ca·çu

jacaió (nome masculino) ja·cai·ó

jacami (nome masculino) ja·ca·mi
jacamim (nome masculino) ja·ca·mim
jacamincá (nome feminino) ja·ca·min·cá

jacamiúna (nome masculino) ja·ca·mi·ú·na

jaçanã (nome masculino) ja·ça·nã
jacanarana (nome feminino) ja·ca·na·ra·na

jacanídeo (nome masculino) ja·ca·ní·de·o
jacanídeo (nome masculino) ja·ca·ní·de·o
jacanídeo (adjetivo) ja·ca·ní·de·o
jacapa (nome feminino) ja·ca·pa

jaçapé (nome masculino) ja·ça·pé
jacapu (nome masculino) ja·ca·pu

jacapucaia (nome feminino) ja·ca·pu·cai·a
jacará (nome masculino) ja·ca·rá

jacarácia (nome feminino) ja·ca·rá·ci·a
jacarandá (nome masculino) ja·ca·ran·dá
jacarandana (nome feminino) ja·ca·ran·da·na
jacarandina (nome feminino) ja·ca·ran·di·na

jacaratiá (nome masculino) ja·ca·ra·ti·á
jacaratinga (nome feminino) ja·ca·ra·tin·ga
jacaré (nome masculino) ja·ca·ré
jacaré-açu (nome masculino) ja·ca·ré-a·çu

jacarearu (nome masculino) ja·ca·re·a·ru
jacareíba (nome feminino) ja·ca·re·í·ba

jacarerana (nome masculino) ja·ca·re·ra·na

jacaretinga (nome masculino) ja·ca·re·tin·ga
jacareúba (nome masculino) ja·ca·re·ú·ba

jacarina (nome feminino) ja·ca·ri·na
jacarini (nome masculino) ja·ca·ri·ni

jacatacá (nome masculino) ja·ca·ta·cá

jacatirão (nome masculino) ja·ca·ti·rão
jacatupé (nome masculino) ja·ca·tu·pé
jácea (nome feminino) já·ce·a
jacente (adjetivo) ja·cen·te
jacente (nome masculino) ja·cen·te
jacetano (adjetivo) ja·ce·ta·no

jacetano (nome masculino) ja·ce·ta·no

jaci (nome masculino) ja·ci

jaciaba (nome feminino) ja·ci·a·ba

jacintara (nome feminino) ja·cin·ta·ra

jacintino (adjetivo) ja·cin·ti·no
jacinto (nome masculino) ja·cin·to
jacitara (nome feminino) ja·ci·ta·ra

jackpot (nome masculino) jack·pot
jacksónia (nome feminino) jack·só·ni·a

jacksônia (nome feminino) jack·sô·ni·a
jacksoniano (adjetivo) jack·so·ni·a·no
jacobeia (nome feminino) ja·co·bei·a
jacobeu (nome masculino) ja·co·beu
jacobiano (nome masculino) ja·co·bi·a·no
jacobice (nome feminino) ja·co·bi·ce
jacobina (nome feminino) ja·co·bi·na

jacobinada (nome feminino) ja·co·bi·na·da

jacobinagem (nome feminino) ja·co·bi·na·gem

jacobinamente (advérbio) ja·co·bi·na·men·te

jacobínia (nome feminino) ja·co·bí·ni·a

jacobinice (nome feminino) ja·co·bi·ni·ce

jacobínico (adjetivo) ja·co·bí·ni·co

jacobinismo (nome masculino) ja·co·bi·nis·mo
jacobinização (nome feminino) ja·co·bi·ni·za·ção

jacobinizar (verbo) ja·co·bi·ni·zar

jacobino (nome masculino) ja·co·bi·no
palavra,tipo,divisao_silabica
já,advérbio,já
já (conjunção) já
