palavra,tipo,divisao_silabica
kabbfússia,nome feminino,kabb·fús·si·a

kabuki (nome masculino) ka·bu·ki
kafkiana (nome feminino) kaf·ki·a·na
kafkiano (nome masculino) kaf·ki·a·no
kafkiano (adjetivo) kaf·ki·a·no
kalash (nome feminino) ka·lash
kalashnikov (nome feminino) ka·lash·ni·kov
kamasutra (nome masculino) ka·ma·su·tra
kamikaze (nome masculino) ka·mi·ka·ze
kamikaze (adjetivo) ka·mi·ka·ze
kamoka (nome feminino) ka·mo·ka
kantiana (nome feminino) kan·ti·a·na
kantiano (adjetivo) kan·ti·a·no
kantiano (nome masculino) kan·ti·a·no
kantismo (nome masculino) kan·tis·mo
kantista (nome masculino) kan·tis·ta
kantista (adjetivo) kan·tis·ta
kantista (nome feminino) kan·tis·ta
kanvuanza (nome feminino) kan·vu·an·za
karaoke (nome masculino) ka·ra·o·ke
karatê (nome masculino) ka·ra·tê
karaté (nome masculino) ka·ra·té
karateca (nome masculino) ka·ra·te·ca
karateca (nome feminino) ka·ra·te·ca
karbovanet (nome masculino) kar·bo·va·net
karma (nome masculino) kar·ma
kart (nome masculino) kart
karting (nome masculino) kar·ting
kartista (nome masculino) kar·tis·ta
kartista (nome feminino) kar·tis·ta
kartódromo (nome masculino) kar·tó·dro·mo
kasba (nome feminino) kas·ba
kassumbular (nome masculino) kas·sum·bu·lar
kayak (nome masculino) kay·ak
kazaniano (adjetivo) ka·za·ni·a·no
kcoeléria (nome feminino) kco·e·lé·ri·a

keewatiniano (adjetivo) ke·e·wa·ti·ni·a·no
keffieh (nome masculino) kef·fieh
kefir (nome masculino) ke·fir
kelvin (nome masculino) kel·vin
kelvin (adjetivo) kel·vin
kendo (nome masculino) ken·do
kennédia (nome feminino) ken·né·di·a

kepléria (nome feminino) ke·plé·ri·a
kepleriano (adjetivo) ke·ple·ri·a·no
kernita (nome feminino) ker·ni·ta
kérria (nome feminino) kér·ri·a

ketchup (nome masculino) ket·chup
keuperiano (adjetivo) keu·pe·ri·a·no
keweenawiano (adjetivo) ke·we·e·na·wi·a·no
keynesianismo (nome masculino) key·ne·si·a·nis·mo
keyserlinguiano (adjetivo) key·ser·lin·gui·a·no
kibutz (nome masculino) ki·butz
kickboxer (nome masculino) kick·bo·xer
kickboxer (nome feminino) kick·bo·xer
kickboxing (nome masculino) kick·bo·xing
kierkegaardiano (adjetivo) kier·ke·gaar·di·a·no
kierkegaardiano (nome masculino) kier·ke·gaar·di·a·no
kilim (adjetivo) ki·lim
kilim (nome masculino) ki·lim
