palavra,tipo,divisao_silabica
u,advérbio,u
uabaína (nome feminino) u·a·ba·í·na
uaçaçu (nome masculino) u·a·ça·çu

uaçaí (nome masculino) u·a·ça·í
uacapu (nome masculino) u·a·ca·pu

uacapurana (nome feminino) u·a·ca·pu·ra·na

uacarauá (adjetivo) u·a·ca·rau·á

uacarauá (nome masculino) u·a·ca·rau·á

uacarauá (nome feminino) u·a·ca·rau·á

uacari (nome masculino) u·a·ca·ri
uacariguaçu (nome masculino) u·a·ca·ri·gua·çu

uacauã (nome masculino) u·a·cau·ã
uacumã (nome masculino) u·a·cu·mã

uacurau (nome masculino) u·a·cu·rau

uadadá (nome masculino) u·a·da·dá
uai (interjeição) u·ai
uaiá (adjetivo) u·ai·á

uaiá (nome masculino) u·ai·á

uaiá (nome feminino) u·ai·á
uaiapuçá (nome masculino) u·ai·a·pu·çá

uaicima (nome feminino) u·ai·ci·ma
uaieira (nome feminino) u·ai·ei·ra

uaimiri (adjetivo) u·ai·mi·ri

uaimiri (nome masculino) u·ai·mi·ri

uaimiri (nome feminino) u·ai·mi·ri

uainumá (adjetivo) u·ai·nu·má

uainumá (nome masculino) u·ai·nu·má

uainumá (nome feminino) u·ai·nu·má

uaipi (nome masculino) u·ai·pi

uajará (nome masculino) u·a·ja·rá
uajuru (nome masculino) u·a·ju·ru

uala (nome feminino) u·a·la
ualua (nome masculino) u·a·lu·a
ualua (nome feminino) u·a·lu·a

uamami (adjetivo) u·a·ma·mi

uamami (nome masculino) u·a·ma·mi

uamami (nome feminino) u·a·ma·mi

uambé (nome masculino) u·am·bé

uamiri (nome masculino) u·a·mi·ri
uanambé (nome masculino) u·a·nam·bé
uanana (adjetivo) u·a·na·na

uanana (nome masculino) u·a·na·na

uanana (nome feminino) u·a·na·na

uanga (nome masculino) u·an·ga
uanhi (nome masculino) u·a·nhi

uaniá (adjetivo) u·a·ni·á

uaniá (nome masculino) u·a·ni·á

uaniá (nome feminino) u·a·ni·á

uapaca (nome feminino) u·a·pa·ca

uapé (nome masculino) u·a·pé

uapixana (adjetivo) u·a·pi·xa·na

uapixana (nome masculino) u·a·pi·xa·na

uapixana (nome feminino) u·a·pi·xa·na

uapuçá (nome masculino) u·a·pu·çá

uaraicu (adjetivo) u·a·rai·cu

uaraicu (nome masculino) u·a·rai·cu

uaraicu (nome feminino) u·a·rai·cu

uariá (nome masculino) u·a·ri·á
uariquena (adjetivo) u·a·ri·que·na

uariquena (nome masculino) u·a·ri·que·na

uariquena (nome feminino) u·a·ri·que·na

uariquina (nome feminino) u·a·ri·qui·na
uarirama (nome feminino) u·a·ri·ra·ma

uarubé (nome masculino) u·a·ru·bé
uarumã (nome masculino) u·a·ru·mã

uaruremboia (nome feminino) u·a·ru·rem·boi·a
uatapu (nome masculino) u·a·ta·pu
uatite (nome feminino) u·a·ti·te

uaturá (nome masculino) u·a·tu·rá

uau (nome masculino) u·au

uauá (nome masculino) u·au·á

uauaçu (nome masculino) u·au·a·çu
uauçu (nome masculino) u·au·çu

uaupé (adjetivo) u·au·pé

uaupé (nome masculino) u·au·pé

uaupé (nome feminino) u·au·pé

uauri (nome masculino) u·au·ri

ubá (nome feminino) u·bá
ubá (nome masculino) u·bá

ubá-açu (nome masculino) u·bá-a·çu
ubacaba (nome feminino) u·ba·ca·ba
ubacaba (nome masculino) u·ba·ca·ba

ubacaia (nome feminino) u·ba·cai·a
ubaense (nome masculino) u·ba·en·se
ubaense (adjetivo) u·ba·en·se
ubaense (nome feminino) u·ba·en·se
úbaga (nome feminino) ú·ba·ga
ubaia (nome feminino) u·bai·a

ubaia-muxama (nome feminino) u·bai·a-mu·xa·ma

ubaína (nome feminino) u·ba·í·na

ubango (nome masculino) u·ban·go
ubarana (nome masculino) u·ba·ra·na
ubarana (nome feminino) u·ba·ra·na

ubatã (nome masculino) u·ba·tã
ubatubense (adjetivo) u·ba·tu·ben·se
ubatubense (nome masculino) u·ba·tu·ben·se
ubatubense (nome feminino) u·ba·tu·ben·se
uberabense (adjetivo) u·be·ra·ben·se
uberabense (nome masculino) u·be·ra·ben·se
uberabense (nome feminino) u·be·ra·ben·se
palavra,tipo,divisao_silabica
u,advérbio,u
uabaína (nome feminino) u·a·ba·í·na
uaçaçu (nome masculino) u·a·ça·çu

uaçaí (nome masculino) u·a·ça·í
uacapu (nome masculino) u·a·ca·pu

uacapurana (nome feminino) u·a·ca·pu·ra·na

uacarauá (adjetivo) u·a·ca·rau·á

uacarauá (nome masculino) u·a·ca·rau·á

uacarauá (nome feminino) u·a·ca·rau·á

uacari (nome masculino) u·a·ca·ri
uacariguaçu (nome masculino) u·a·ca·ri·gua·çu

uacauã (nome masculino) u·a·cau·ã
uacumã (nome masculino) u·a·cu·mã

uacurau (nome masculino) u·a·cu·rau

uadadá (nome masculino) u·a·da·dá
uai (interjeição) u·ai
uaiá (adjetivo) u·ai·á

uaiá (nome masculino) u·ai·á

uaiá (nome feminino) u·ai·á
uaiapuçá (nome masculino) u·ai·a·pu·çá

uaicima (nome feminino) u·ai·ci·ma
uaieira (nome feminino) u·ai·ei·ra

uaimiri (adjetivo) u·ai·mi·ri

uaimiri (nome masculino) u·ai·mi·ri

uaimiri (nome feminino) u·ai·mi·ri

uainumá (adjetivo) u·ai·nu·má

uainumá (nome masculino) u·ai·nu·má

uainumá (nome feminino) u·ai·nu·má

uaipi (nome masculino) u·ai·pi

uajará (nome masculino) u·a·ja·rá
uajuru (nome masculino) u·a·ju·ru

uala (nome feminino) u·a·la
ualua (nome masculino) u·a·lu·a
ualua (nome feminino) u·a·lu·a

uamami (adjetivo) u·a·ma·mi

uamami (nome masculino) u·a·ma·mi

uamami (nome feminino) u·a·ma·mi

uambé (nome masculino) u·am·bé

uamiri (nome masculino) u·a·mi·ri
uanambé (nome masculino) u·a·nam·bé
uanana (adjetivo) u·a·na·na

uanana (nome masculino) u·a·na·na

uanana (nome feminino) u·a·na·na

uanga (nome masculino) u·an·ga
uanhi (nome masculino) u·a·nhi

uaniá (adjetivo) u·a·ni·á

uaniá (nome masculino) u·a·ni·á

uaniá (nome feminino) u·a·ni·á

uapaca (nome feminino) u·a·pa·ca

uapé (nome masculino) u·a·pé

uapixana (adjetivo) u·a·pi·xa·na

uapixana (nome masculino) u·a·pi·xa·na

uapixana (nome feminino) u·a·pi·xa·na

