palavra,tipo,divisao_silabica
wad,nome masculino,wad
waffle (nome masculino) waf·fle
wagneriana (nome feminino) wag·ne·ri·a·na
wagneriano (nome masculino) wag·ne·ri·a·no
wagneriano (adjetivo) wag·ne·ri·a·no
wagnerismo (nome masculino) wag·ne·ris·mo
wagnerita (nome feminino) wag·ne·ri·ta
wagnerite (nome feminino) wag·ne·ri·te
wahlenbérgia (nome feminino) wah·len·bér·gi·a

wálchia (nome feminino) wál·chi·a
waldstêinia (nome feminino) walds·têi·ni·a

walkéria (nome feminino) wal·ké·ri·a

walkie-talkie (nome masculino) wal·kie-tal·kie
walkman (nome masculino) walk·man
walthéria (nome feminino) walt·hé·ri·a

warrant (nome masculino) war·rant
warwickite (nome feminino) war·wic·ki·te

washingtónia (nome feminino) was·hing·tó·ni·a

washingtônia (nome feminino) was·hing·tô·ni·a
washingtoniana (nome feminino) wa·shing·to·ni·a·na
washingtoniano (adjetivo) wa·shing·to·ni·a·no
washingtoniano (nome masculino) wa·shing·to·ni·a·no
wasp (nome masculino) wasp
water-closet (nome masculino) wa·ter-clo·set
water-polo (nome masculino) wa·ter-po·lo
watergate (nome masculino) wa·ter·ga·te
waterproof (adjetivo) wa·ter·proof
waterproof (nome masculino) wa·ter·proof
watsónia (nome feminino) wat·só·ni·a

watsônia (nome feminino) wat·sô·ni·a
watt (nome masculino) watt
watt-hora (nome masculino) watt-ho·ra
watt-segundo (nome masculino) watt-se·gun·do
wattímetro (nome masculino) wat·tí·me·tro
wavellita (nome feminino) wa·vel·li·ta
wavellite (nome feminino) wa·vel·li·te
wc (nome masculino) wc
wealdiano (adjetivo) we·al·di·a·no
web (nome feminino) web
wébbia (nome feminino) wéb·bi·a

weber (nome masculino) we·ber
weberiano (adjetivo) we·be·ri·a·no
weekend (nome masculino) wee·kend
weliwítschia (nome feminino) we·li·wíts·chi·a
weliwítschiácea (nome feminino) we·li·wíts·chi·á·ce·a
wellingtónia (nome feminino) wel·ling·tó·ni·a
wellingtônia (nome feminino) wel·ling·tô·ni·a
wellingtoniácea (nome feminino) wel·ling·to·ni·á·ce·a
wellingtoniáceo (adjetivo) wel·ling·to·ni·á·ce·o
wellingtoniana (nome feminino) wel·ling·to·ni·a·na
wellingtoniano (adjetivo) wel·ling·to·ni·a·no
wellingtoniano (nome masculino) wel·ling·to·ni·a·no
welwitschiácea (nome feminino) wel·wits·chi·á·ce·a
welwitschiáceo (adjetivo) wel·wits·chi·á·ce·o
wenlockiano (adjetivo) wen·loc·ki·a·no
werfeniano (adjetivo) wer·fe·ni·a·no
wernerite (nome feminino) wer·ne·ri·te

wertheriana (nome feminino) wer·the·ri·a·na
wertheriano (nome masculino) wer·the·ri·a·no
wesleyanismo (nome masculino) wes·ley·a·nis·mo
wesleyano (adjetivo) wes·le·y·a·no

wesleyano (nome masculino) wes·le·y·a·no

western (nome masculino) wes·tern
westminsteriano (adjetivo) west·min·ste·ri·a·no
whiskey (nome masculino) whis·key
whisky (nome masculino) whis·ky
whist (nome masculino) whist
wiclefismo (nome masculino) wi·cle·fis·mo

wiclefista (adjetivo) wi·cle·fis·ta

wiclefista (nome masculino) wi·cle·fis·ta

wiclefista (nome feminino) wi·cle·fis·ta

widdringtónia (nome feminino) wid·dring·tó·ni·a

widdringtônia (nome feminino) wid·dring·tô·ni·a
wiedmânnia (nome feminino) wi·ed·mân·ni·a

wigândia (nome feminino) wi·gân·di·a

wíghtia (nome feminino) wígh·ti·a

wilbrândia (nome feminino) wil·brân·di·a

wild-card (nome masculino) wild-card
wildiano (adjetivo) wil·di·a·no
wilkinsónia (nome feminino) wil·kin·só·ni·a

wilkinsônia (nome feminino) wil·kin·sô·ni·a
wilsónia (nome feminino) wil·só·ni·a

wilsônia (nome feminino) wil·sô·ni·a
wilsoniano (adjetivo) wil·so·ni·a·no
windsoriano (adjetivo) wind·so·ri·a·no
windsurf (nome masculino) wind·surf
windsurfista (nome masculino) wind·sur·fis·ta
windsurfista (nome feminino) wind·sur·fis·ta
winner (nome masculino) win·ner
winteranácea (nome feminino) win·te·ra·ná·ce·a
wirsungiano (adjetivo) wir·sun·gi·a·no

witherite (nome feminino) wit·he·ri·te

wölffliniano (adjetivo) wölffli·ni·a·no

wollastonite (nome feminino) wol·las·to·ni·te

won (nome masculino) won
woodwárdia (nome feminino) wo·od·wár·di·a

workaholic (adjetivo) wor·ka·ho·lic
workaholic (nome feminino) wor·ka·ho·lic
workaholic (nome masculino) wor·ka·ho·lic
workshop (nome masculino) work·shop
palavra,tipo,divisao_silabica
wad,nome masculino,wad
waffle (nome masculino) waf·fle
wagneriana (nome feminino) wag·ne·ri·a·na
wagneriano (nome masculino) wag·ne·ri·a·no
wagneriano (adjetivo) wag·ne·ri·a·no
wagnerismo (nome masculino) wag·ne·ris·mo
wagnerita (nome feminino) wag·ne·ri·ta
wagnerite (nome feminino) wag·ne·ri·te
wahlenbérgia (nome feminino) wah·len·bér·gi·a

wálchia (nome feminino) wál·chi·a
waldstêinia (nome feminino) walds·têi·ni·a

walkéria (nome feminino) wal·ké·ri·a

walkie-talkie (nome masculino) wal·kie-tal·kie
walkman (nome masculino) walk·man
walthéria (nome feminino) walt·hé·ri·a

warrant (nome masculino) war·rant
warwickite (nome feminino) war·wic·ki·te

washingtónia (nome feminino) was·hing·tó·ni·a

washingtônia (nome feminino) was·hing·tô·ni·a
washingtoniana (nome feminino) wa·shing·to·ni·a·na
washingtoniano (adjetivo) wa·shing·to·ni·a·no
washingtoniano (nome masculino) wa·shing·to·ni·a·no
wasp (nome masculino) wasp
water-closet (nome masculino) wa·ter-clo·set
water-polo (nome masculino) wa·ter-po·lo
watergate (nome masculino) wa·ter·ga·te
waterproof (adjetivo) wa·ter·proof
waterproof (nome masculino) wa·ter·proof
watsónia (nome feminino) wat·só·ni·a

watsônia (nome feminino) wat·sô·ni·a
watt (nome masculino) watt
watt-hora (nome masculino) watt-ho·ra
watt-segundo (nome masculino) watt-se·gun·do
wattímetro (nome masculino) wat·tí·me·tro
wavellita (nome feminino) wa·vel·li·ta
wavellite (nome feminino) wa·vel·li·te
wc (nome masculino) wc
wealdiano (adjetivo) we·al·di·a·no
web (nome feminino) web
wébbia (nome feminino) wéb·bi·a

weber (nome masculino) we·ber
weberiano (adjetivo) we·be·ri·a·no
weekend (nome masculino) wee·kend
weliwítschia (nome feminino) we·li·wíts·chi·a
weliwítschiácea (nome feminino) we·li·wíts·chi·á·ce·a
wellingtónia (nome feminino) wel·ling·tó·ni·a
wellingtônia (nome feminino) wel·ling·tô·ni·a
wellingtoniácea (nome feminino) wel·ling·to·ni·á·ce·a
wellingtoniáceo (adjetivo) wel·ling·to·ni·á·ce·o
wellingtoniana (nome feminino) wel·ling·to·ni·a·na
wellingtoniano (adjetivo) wel·ling·to·ni·a·no
wellingtoniano (nome masculino) wel·ling·to·ni·a·no
welwitschiácea (nome feminino) wel·wits·chi·á·ce·a
welwitschiáceo (adjetivo) wel·wits·chi·á·ce·o
wenlockiano (adjetivo) wen·loc·ki·a·no
werfeniano (adjetivo) wer·fe·ni·a·no
wernerite (nome feminino) wer·ne·ri·te

wertheriana (nome feminino) wer·the·ri·a·na
wertheriano (nome masculino) wer·the·ri·a·no
wesleyanismo (nome masculino) wes·ley·a·nis·mo
wesleyano (adjetivo) wes·le·y·a·no

wesleyano (nome masculino) wes·le·y·a·no

western (nome masculino) wes·tern
westminsteriano (adjetivo) west·min·ste·ri·a·no
whiskey (nome masculino) whis·key
whisky (nome masculino) whis·ky
whist (nome masculino) whist
wiclefismo (nome masculino) wi·cle·fis·mo

wiclefista (adjetivo) wi·cle·fis·ta

wiclefista (nome masculino) wi·cle·fis·ta

wiclefista (nome feminino) wi·cle·fis·ta

widdringtónia (nome feminino) wid·dring·tó·ni·a

widdringtônia (nome feminino) wid·dring·tô·ni·a
wiedmânnia (nome feminino) wi·ed·mân·ni·a

wigândia (nome feminino) wi·gân·di·a

wíghtia (nome feminino) wígh·ti·a

wilbrândia (nome feminino) wil·brân·di·a

wild-card (nome masculino) wild-card
wildiano (adjetivo) wil·di·a·no
wilkinsónia (nome feminino) wil·kin·só·ni·a

wilkinsônia (nome feminino) wil·kin·sô·ni·a
wilsónia (nome feminino) wil·só·ni·a

wilsônia (nome feminino) wil·sô·ni·a
wilsoniano (adjetivo) wil·so·ni·a·no
windsoriano (adjetivo) wind·so·ri·a·no
windsurf (nome masculino) wind·surf
windsurfista (nome masculino) wind·sur·fis·ta
windsurfista (nome feminino) wind·sur·fis·ta
winner (nome masculino) win·ner
winteranácea (nome feminino) win·te·ra·ná·ce·a
wirsungiano (adjetivo) wir·sun·gi·a·no

witherite (nome feminino) wit·he·ri·te

wölffliniano (adjetivo) wölffli·ni·a·no

wollastonite (nome feminino) wol·las·to·ni·te

won (nome masculino) won
woodwárdia (nome feminino) wo·od·wár·di·a

workaholic (adjetivo) wor·ka·ho·lic
workaholic (nome feminino) wor·ka·ho·lic
workaholic (nome masculino) wor·ka·ho·lic
workshop (nome masculino) work·shop
palavra,tipo,divisao_silabica
waffle,nome masculino,waf·fle
wagneriana (nome feminino) wag·ne·ri·a·na
wagneriano (nome masculino) wag·ne·ri·a·no
wagneriano (adjetivo) wag·ne·ri·a·no
wagnerismo (nome masculino) wag·ne·ris·mo
wagnerita (nome feminino) wag·ne·ri·ta
wagnerite (nome feminino) wag·ne·ri·te
wahlenbérgia (nome feminino) wah·len·bér·gi·a

wálchia (nome feminino) wál·chi·a
waldstêinia (nome feminino) walds·têi·ni·a

walkéria (nome feminino) wal·ké·ri·a

walkie-talkie (nome masculino) wal·kie-tal·kie
walkman (nome masculino) walk·man
walthéria (nome feminino) walt·hé·ri·a

warrant (nome masculino) war·rant
warwickite (nome feminino) war·wic·ki·te

washingtónia (nome feminino) was·hing·tó·ni·a

washingtônia (nome feminino) was·hing·tô·ni·a
washingtoniana (nome feminino) wa·shing·to·ni·a·na
washingtoniano (adjetivo) wa·shing·to·ni·a·no
washingtoniano (nome masculino) wa·shing·to·ni·a·no
wasp (nome masculino) wasp
water-closet (nome masculino) wa·ter-clo·set
water-polo (nome masculino) wa·ter-po·lo
watergate (nome masculino) wa·ter·ga·te
waterproof (adjetivo) wa·ter·proof
waterproof (nome masculino) wa·ter·proof
watsónia (nome feminino) wat·só·ni·a

watsônia (nome feminino) wat·sô·ni·a
watt (nome masculino) watt
watt-hora (nome masculino) watt-ho·ra
watt-segundo (nome masculino) watt-se·gun·do
wattímetro (nome masculino) wat·tí·me·tro
wavellita (nome feminino) wa·vel·li·ta
wavellite (nome feminino) wa·vel·li·te
wc (nome masculino) wc
wealdiano (adjetivo) we·al·di·a·no
web (nome feminino) web
wébbia (nome feminino) wéb·bi·a

weber (nome masculino) we·ber
weberiano (adjetivo) we·be·ri·a·no
weekend (nome masculino) wee·kend
weliwítschia (nome feminino) we·li·wíts·chi·a
